pfk CG4282
pfk CG11560
pfk CG6689
pfk CG4360
pfk CG30020
pfk CG2199
pfk Dref
pfk cg
pfk BEAF-32
pfk CG18476
pfk CG15601
pfk CG1602
pfk exd
pfk CG9948
pfk CG17328
pfk CG1647
pfk Nf-YA
pfk CG12219
pfk CG17359
pfk CG9797
pfk CG17829
pfk CG18764
pfk dalao
pfk ash1
pfk CG10565
pfk CG4820
pfk CG6905
pfk pita
pfk E(bx)
pfk CG6683
pfk CG11723
pfk MTA1-like
pfk CG17612
pfk CG17802
pfk Dek
pfk CG3847
pfk CG7101
pfk CG2116
pfk brat
pfk CG5245
pfk CG18011
pfk wek
pfk CG9793
pfk hang
pfk CG17153
pfk CG11696
pfk CG14710
pfk pzg
pfk CG34422
pfk CG3995
pfk CG9437
pfk Su(var)2-10
pfk CG11970
pfk CG14965
pfk CG1024
pfk Cenp-C
pfk mxc
pfk TFAM
pfk CG33213
pfk Hmr
pfk CG9883
pfk Bgb
pfk CG6854
pfk Dip2
pfk CG4936
pfk trem
pfk CG3407
pfk CG4617
pfk z
pfk CG12659
pfk CG2202
pfk zf30C
pfk CG7839
pfk D19B
pfk Sry-delta
pfk CG12942
pfk CG8359
pfk CG3227
pfk CG15514
pfk jigr1
pfk BtbVII
pfk CG9705
pfk Sry-beta
pfk CTCF
pfk CG15436
pfk CG17912
pfk CG3281
pfk CG1792
pfk Chrac-16
pfk stwl
pfk CG5180
rgr CG18262
AP-2 ara
AP-2 H15
Scr B-H2
Scr drm
Scr lbl
Scr bap
Scr otp
Scr tup
Scr Sox21b
Scr ss
Scr oc
Scr hbn
Scr Abd-B
Scr sob
Scr trh
Scr Antp
Scr slp2
Scr pb
Scr abd-A
Scr en
Scr croc
Scr gsb-n
Scr HGTX
Scr grn
Scr D
Scr disco
Scr wor
CG4854 woc
CG4854 Set2
CG4854 CG18764
CG4854 CG6654
CG4854 p53
CG4854 CG8478
CG4854 CG9883
CG4854 Su(H)
CG4854 CG7357
CG4854 CG15336
CG4854 CG6683
CG4854 CG2712
CG4854 CG8944
CG4854 CG8924
CG4854 CG17361
CG4854 CG3995
CG4854 CG10904
CG4854 CG4936
CG4854 Su(var)2-10
CG4854 CG17612
CG4854 CG8290
CG4854 Dip2
CG4854 NC2beta
CG4854 polybromo
CG4854 Dek
CG4854 Su(var)2-HP2
CG4854 Hmr
CG4854 CG7928
CG4854 Sry-beta
CG4854 CG9797
CG4854 trem
CG4854 psq
CG4854 CG2116
CG4854 Myb
CG4854 Dp
CG4854 MESR4
CG4854 Bap170
CG4854 CG18011
CG4854 wek
CG4854 CG17829
CG4854 CG12155
CG4854 CG12942
CG4854 tgo
CG4854 CG14710
CG4854 CG1602
CG4854 CG17359
CG4854 CG2678
CG4854 E(var)3-9
CG4854 CG12391
CG4854 CG17385
CG4854 CG11696
CG4854 Jarid2
CG4854 CG5245
CG4854 CG11970
CG4854 wdn
CG4854 CG4424
CG4854 dwg
CG4854 CG14965
CG4854 CG1024
CG4854 CG7372
CG4854 Cenp-C
CG4854 YL-1
CG4854 CG2875
CG4854 CG3847
CG4854 Lhr
CG4854 CG15436
CG4854 CG33213
CG4854 CG11560
CG4854 Su(var)3-7
CG4854 CG3065
CG4854 Bgb
CG4854 CG4282
CG4854 CG31365
CG4854 Ada2b
CG4854 CG1603
CG4854 pfk
CG4854 CG17568
CG4854 CG4730
CG4854 z
CG4854 CG12659
CG4854 CG6808
CG4854 CG7839
CG4854 Sry-delta
CG4854 BEAF-32
CG4854 CG17153
CG4854 CG6689
CG4854 D1
CG4854 CG11723
CG4854 CG4360
CG4854 CG8359
CG4854 CG30020
CG4854 dalao
CG4854 CG9418
CG4854 CG2199
CG4854 CG8145
CG4854 CG11504
CG4854 CG15514
CG4854 Dref
CG4854 CG3227
CG4854 CG9705
CG4854 CG9793
CG4854 CG17912
CG4854 TFAM
CG4854 pita
CG4854 exd
CG4854 CG17328
CG4854 cg
CG4854 CG3281
CG4854 CG10267
CG4854 CG1792
CG4854 Nf-YA
CG4854 CG14711
CG4854 CG1647
CG4854 CG17802
CG4854 Chrac-16
CG4854 chm
CG4854 CG5180
Deaf1 cic
Deaf1 sima
Deaf1 Aef1
Deaf1 Set2
Deaf1 Jarid2
Deaf1 dalao
Deaf1 CG11970
Deaf1 CG10321
Deaf1 YL-1
Deaf1 CG8478
Deaf1 lid
Deaf1 pzg
Deaf1 Su(var)3-7
Deaf1 Su(H)
Deaf1 Dsp1
Deaf1 CG4936
Deaf1 CG12155
Deaf1 CG7839
Deaf1 D19B
Deaf1 NC2alpha
Deaf1 CG4282
Deaf1 CG11560
Deaf1 CG8290
Deaf1 Taf1
Deaf1 stc
Deaf1 Dek
Deaf1 CG11504
Deaf1 cg
Deaf1 BtbVII
Deaf1 MESR4
Deaf1 brat
